menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"poste","Poste Energia","poste","Poste Energia","luce","fisso","Poste Energia Luce","036327ESFML08XX260619REPENGXXXXX","19/06/2026_00:00:00","06/07/2026_23:59:59","0.152","89","pronta_fisso","prezzo fisso domestico leggibile","https://postepay.poste.it/gamma/poste-energia-luce-gas.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.896"
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce e Gas Semplice Fix - P","040505DSFML06XXPULSEEFIX77112606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.14545","90","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas/luce-e-gas/luce-e-gas-semplice-fix","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.895"
"pulsee","Pulsee Luce e Gas","pulsee","Pulsee Luce e Gas","luce","fisso","Pulsee Luce Semplice Fix","040505ESFML06XXPULSEEFIX77102606","23/06/2026_12:00:00","30/06/2026_11:59:59","0.14545","90","pronta_fisso","prezzo fisso domestico leggibile","https://pulsee.it/offerte-casa-luce-gas/luce-e-gas/luce-e-gas-semplice-fix","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.895"
"alperia","Alperia","alperia","Alperia","luce","fisso","Alperia Smile Easy Summer","000368ESFML01XX4085488X260611XVE","11/06/2026_00:00:00","10/07/2026_23:59:59","0.1027","95.4","pronta_fisso","prezzo fisso domestico leggibile","https://www.alperia.eu/offerta/alperia-smile-easy-summer","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.894"
"magis","Magis Energia","magis","Magis Energia","luce","fisso","MIA LUCE FIX WEB","000592ESFML02XXDXX0626XMIAFIXWEB","17/06/2026_00:00:00","30/06/2026_23:59:00","0.0985","96","pronta_fisso","prezzo fisso domestico leggibile","https://www.magisenergia.it/it/casa/luce/mia-luce-fix","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.894"
"nen","neN","nen","neN","luce","fisso","Due Luce","029748ESFML01XX260617LDDUE000000","22/06/2026_13:30:00","25/06/2026_23:59:59","0.129","96","pronta_fisso","prezzo fisso domestico leggibile","https://nen.it/attiva-nen","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.891"
"alperia","Alperia","alperia","Alperia","luce","fisso","Alperia Smile Safety","000368ESFML02XX3385081X260611XVE","11/06/2026_00:00:00","10/07/2026_23:59:59","0.1397","97.2","pronta_fisso","prezzo fisso domestico leggibile","https://www.alperia.eu/offerta/alperia-smile-safety","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.889"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Chiara Click","000362ESFML01XXLW16S2DD00000A000","18/06/2026_00:00:00","25/06/2026_23:59:59","0.1125","109.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/luce/casa/eon-luce-chiara.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.880"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Insieme","000362DSFML01XXZA16S2D000000A000","18/06/2026_00:00:00","25/06/2026_23:59:59","0.1119","109.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/offerta-luce-gas-insieme.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.880"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON LuceClickVerde","000362ESFML01XXL616S2D000000A000","18/06/2026_00:00:00","25/06/2026_23:59:59","0.1075","109.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/luce/casa/eon-luce-click-verde.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.880"
